"id","number","vtown","category","condition","status","entry_date"
"379","C08-120","Samanabad Town","Compactor","Old","Active","2023-05-27"
"380","C08-122","Samanabad Town","Compactor","Old","Active","2023-05-27"
"381","C08-143","Samanabad Town","Compactor","Old","Active","2023-05-27"
"382","C08-171","Samanabad Town","Compactor","Old","Active","2023-05-27"
"383","C09-306","Samanabad Town","Compactor","Old","Active","2023-05-27"
"384","C-13003","Samanabad Town","Compactor","Old","Active","2023-05-27"
"385","C-1301","Samanabad Town","Compactor","New","Active","2023-05-27"
"386","C-1310","Samanabad Town","Compactor","New","Active","2023-05-27"
"387","C13-1003","Samanabad Town","Compactor","Old","Active","2023-05-27"
"388","C13-1012","Samanabad Town","Compactor","Old","Active","2023-05-27"
"389","C13-1017","Samanabad Town","Compactor","Old","Active","2023-05-27"
"390","C13-1019","Samanabad Town","Compactor","Old","Active","2023-05-27"
"391","C13-1020","Samanabad Town","Compactor","Old","Active","2023-05-27"
"392","C13-1028","Samanabad Town","Compactor","Old","Active","2023-05-27"
"393","C13-1032","Samanabad Town","Compactor","Old","Active","2023-05-27"
"394","C13-1034","Samanabad Town","Compactor","Old","Active","2023-05-27"
"395","C13-1035","Samanabad Town","Compactor","Old","Active","2023-05-27"
"396","C13-1087","Samanabad Town","Compactor","Old","Active","2023-05-27"
"397","C13-1090","Samanabad Town","Compactor","Old","Active","2023-05-27"
"398","C13-1091","Samanabad Town","Compactor","Old","Active","2023-05-27"
"399","C13-1092","Samanabad Town","Compactor","Old","Active","2023-05-27"
"400","C-13-15","Samanabad Town","Compactor","New","Active","2023-05-27"
"401","C-1315L","Samanabad Town","Compactor","New","Active","2023-05-27"
"402","C-1325","Samanabad Town","Compactor","New","Active","2023-05-27"
"403","C-1327","Samanabad Town","Compactor","New","Active","2023-05-27"
"404","C-1346","Samanabad Town","Compactor","New","Active","2023-05-27"
"405","C-1347","Samanabad Town","Compactor","New","Active","2023-05-27"
"406","C-1348","Samanabad Town","Compactor","New","Active","2023-05-27"
"407","C-1349","Samanabad Town","Compactor","New","Active","2023-05-27"
"408","C-1350","Samanabad Town","Compactor","New","Active","2023-05-27"
"409","C25-095","Samanabad Town","Compactor","Old","Active","2023-05-27"
"410","C-704","Samanabad Town","Compactor","New","Active","2023-05-27"
"411","C7-1110","Samanabad Town","Compactor","Old","Active","2023-05-27"
"412","C7-1112","Samanabad Town","Compactor","Old","Active","2023-05-27"
"413","C7-1133","Samanabad Town","Compactor","Old","Active","2023-05-27"
"414","C7-1135","Samanabad Town","Compactor","Old","Active","2023-05-27"
"415","C-715","Samanabad Town","Compactor","New","Active","2023-05-27"
"416","C-724","Samanabad Town","Compactor","New","Active","2023-05-27"
"417","C-725","Samanabad Town","Compactor","New","Active","2023-05-27"
"418","ALB-C08-141","Shalimar Town","Compactor","Old","Active","2023-05-27"
"419","C08-105","Shalimar Town","Compactor","Old","Active","2023-05-27"
"420","C08-112","Shalimar Town","Compactor","Old","Active","2023-05-27"
"421","C08-118","Shalimar Town","Compactor","Old","Active","2023-05-27"
"422","C09-309","Shalimar Town","Compactor","Old","Active","2023-05-27"
"423","C-1303","Shalimar Town","Compactor","New","Active","2023-05-27"
"424","C13-1007","Shalimar Town","Compactor","Old","Active","2023-05-27"
"425","C13-1008","Shalimar Town","Compactor","Old","Active","2023-05-27"
"426","C13-1013","Shalimar Town","Compactor","Old","Active","2023-05-27"
"427","C13-1027","Shalimar Town","Compactor","Old","Active","2023-05-27"
"428","C13-1029","Shalimar Town","Compactor","Old","Active","2023-05-27"
"429","C13-1030","Shalimar Town","Compactor","Old","Active","2023-05-27"
"430","C13-1053","Shalimar Town","Compactor","Old","Active","2023-05-27"
"431","C-1320","Shalimar Town","Compactor","New","Active","2023-05-27"
"432","C-1328","Shalimar Town","Compactor","New","Active","2023-05-27"
"433","C-1331","Shalimar Town","Compactor","New","Active","2023-05-27"
"434","C-1332","Shalimar Town","Compactor","New","Active","2023-05-27"
"435","C25-086","Shalimar Town","Compactor","Old","Active","2023-05-27"
"436","C25-087","Shalimar Town","Compactor","Old","Active","2023-05-27"
"437","C25-090","Shalimar Town","Compactor","Old","Active","2023-05-27"
"438","C25-092","Shalimar Town","Compactor","Old","Active","2023-05-27"
"439","C-707","Shalimar Town","Compactor","New","Active","2023-05-27"
"440","C7-1126","Shalimar Town","Compactor","Old","Active","2023-05-27"
"441","C7-1127","Shalimar Town","Compactor","Old","Active","2023-05-27"
"442","C7-1128","Shalimar Town","Compactor","Old","Active","2023-05-27"
"443","C7-1129","Shalimar Town","Compactor","Old","Active","2023-05-27"
"444","C7-1136","Shalimar Town","Compactor","Old","Active","2023-05-27"
"445","C7-1137","Shalimar Town","Compactor","Old","Active","2023-05-27"
"446","C7-1140","Shalimar Town","Compactor","Old","Active","2023-05-27"
"447","C-712","Shalimar Town","Compactor","New","Active","2023-05-27"
"448","C08-099","Wahga Town","Compactor","Old","Active","2023-05-27"
"449","C08-101","Wahga Town","Compactor","Old","Active","2023-05-27"
"450","C08-107","Wahga Town","Compactor","Old","Active","2023-05-27"
"451","C13-1036","Wahga Town","Compactor","Old","Active","2023-05-27"
"452","C13-1047","Wahga Town","Compactor","Old","Active","2023-05-27"
"453","C13-1070","Wahga Town","Compactor","Old","Active","2023-05-27"
"454","C-1311","Wahga Town","Compactor","New","Active","2023-05-27"
"455","C25-082","Wahga Town","Compactor","Old","Active","2023-05-27"
"456","C25-088","Wahga Town","Compactor","Old","Active","2023-05-27"
"457","C-7-08","Wahga Town","Compactor","New","Active","2023-05-27"
"458","C-710","Wahga Town","Compactor","New","Active","2023-05-27"
"459","C7-1101","Wahga Town","Compactor","Old","Active","2023-05-27"
"460","C05-168","Allama Iqbal Town","Dumper","Old","Active","2023-05-27"
"461","C05-180","Allama Iqbal Town","Dumper","Old","Active","2023-05-27"
"462","C05-270","Allama Iqbal Town","Dumper","Old","Active","2023-05-27"
"463","D-32","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"464","D-34","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"465","D-35","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"466","D-36","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"467","D-41","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"468","D-42","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"469","D-43","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"470","D-58","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"471","D-70","Allama Iqbal Town","Dumper","New","Active","2023-05-27"
"472","C10-189","Aziz Bhatti Town","Dumper","Old","Active","2023-05-27"
"473","C10-193","Aziz Bhatti Town","Dumper","Old","Active","2023-05-27"
"474","D-39","Aziz Bhatti Town","Dumper","New","Active","2023-05-27"
"475","D-65","Aziz Bhatti Town","Dumper","New","Active","2023-05-27"
"476","D-66","Aziz Bhatti Town","Dumper","New","Active","2023-05-27"
"477","HD-4175","Aziz Bhatti Town","Dumper","Old","Active","2023-05-27"
"478","LHN-4174","Aziz Bhatti Town","Dumper","Old","Active","2023-05-27"
"479","ND-103","Aziz Bhatti Town","Dumper","Old","Active","2023-05-27"
"480","ND-21","Compost Plant","Dumper","Old","Active","2023-05-27"
"481","D-13","DGBT","Dumper","Old","Active","2023-05-27"
"482","D-19","DGBT","Dumper","New","Active","2023-05-27"
"483","D-20","DGBT","Dumper","New","Active","2023-05-27"
"484","D-28","DGBT","Dumper","New","Active","2023-05-27"
"485","D-68","DGBT","Dumper","New","Active","2023-05-27"
"486","DT-08","DGBT","Dumper","New","Active","2023-05-27"
"487","DT-13","DGBT","Dumper","New","Active","2023-05-27"
"488","LES-7509","DGBT","Dumper","Old","Active","2023-05-27"
"489","ND-36","DGBT","Dumper","Old","Active","2023-05-27"
"490","D-07","Gulberg Town","Dumper","Old","Active","2023-05-27"
"491","D-10","Gulberg Town","Dumper","Old","Active","2023-05-27"
"492","D-12","Gulberg Town","Dumper","Old","Active","2023-05-27"
"493","D-17","Gulberg Town","Dumper","New","Active","2023-05-27"
"494","D-18","Gulberg Town","Dumper","New","Active","2023-05-27"
"495","D-22","Gulberg Town","Dumper","New","Active","2023-05-27"
"496","D-48","Gulberg Town","Dumper","New","Active","2023-05-27"
"497","D-49","Gulberg Town","Dumper","New","Active","2023-05-27"
"498","D-50","Gulberg Town","Dumper","New","Active","2023-05-27"
"499","D-56","Gulberg Town","Dumper","New","Active","2023-05-27"
"500","ND-30","Lakhodair","Dumper","Old","Active","2023-05-27"
"501","MS-05","Night Operations","Dumper","Old","Active","2023-05-27"
"502","C05-294","Nishter Town","Dumper","Old","Active","2023-05-27"
"503","C10-191","Nishter Town","Dumper","Old","Active","2023-05-27"
"504","C10-192","Nishter Town","Dumper","Old","Active","2023-05-27"
"505","D-09","Nishter Town","Dumper","Old","Active","2023-05-27"
"506","D-33","Nishter Town","Dumper","New","Active","2023-05-27"
"507","D-37","Nishter Town","Dumper","New","Active","2023-05-27"
"508","D-40","Nishter Town","Dumper","New","Active","2023-05-27"
"509","D-62","Nishter Town","Dumper","New","Active","2023-05-27"
"510","D-63","Nishter Town","Dumper","New","Active","2023-05-27"
"511","D-71","Nishter Town","Dumper","New","Active","2023-05-27"
"512","C10-187","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"513","C10-194","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"514","C22-188","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"515","D-01","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"516","D-02","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"517","D-05","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"518","D-15","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"519","D-16","Rajgarh Centre","Dumper","Old","Active","2023-05-27"
"520","D-25","Rajgarh Centre","Dumper","New","Active","2023-05-27"
"521","D-38","Rajgarh Centre","Dumper","New","Active","2023-05-27"
"522","C10-190","Ravi Town","Dumper","Old","Active","2023-05-27"
"523","D-03","Ravi Town","Dumper","Old","Active","2023-05-27"
"524","D-04","Ravi Town","Dumper","Old","Active","2023-05-27"
"525","D-27","Ravi Town","Dumper","New","Active","2023-05-27"
"526","D-60","Ravi Town","Dumper","New","Active","2023-05-27"
"527","D-64","Ravi Town","Dumper","New","Active","2023-05-27"
"528","DT-02-43","Ravi Town","Dumper","New","Active","2023-05-27"
"529","DT-06-47","Ravi Town","Dumper","New","Active","2023-05-27"
"530","ND-42","Ravi Town","Dumper","Old","Active","2023-05-27"
"531","ND-43","Ravi Town","Dumper","Old","Active","2023-05-27"
"532","ND-104","Ring Road","Dumper","Old","Active","2023-05-27"
"533","ND-22","Ring Road","Dumper","Old","Active","2023-05-27"
"534","ND-23","Ring Road","Dumper","Old","Active","2023-05-27"
"535","ND-26","Ring Road","Dumper","Old","Active","2023-05-27"
"536","ND-31","Ring Road","Dumper","Old","Active","2023-05-27"
"537","D-14","Samanabad Town","Dumper","Old","Active","2023-05-27"
"538","D-23","Samanabad Town","Dumper","New","Active","2023-05-27"
"539","D-24","Samanabad Town","Dumper","New","Active","2023-05-27"
"540","D-31","Samanabad Town","Dumper","New","Active","2023-05-27"
"541","D-46","Samanabad Town","Dumper","New","Active","2023-05-27"
"542","D-47","Samanabad Town","Dumper","New","Active","2023-05-27"
"543","D-57","Samanabad Town","Dumper","New","Active","2023-05-27"
"544","D-61","Samanabad Town","Dumper","New","Active","2023-05-27"
"545","ND-33","Samanabad Town","Dumper","Old","Active","2023-05-27"
"546","ND-34","Samanabad Town","Dumper","Old","Active","2023-05-27"
"547","ND-35","Samanabad Town","Dumper","Old","Active","2023-05-27"
"548","ND-37","Samanabad Town","Dumper","Old","Active","2023-05-27"
"549","C10-271","Shalimar Town","Dumper","Old","Active","2023-05-27"
"550","D-21","Shalimar Town","Dumper","New","Active","2023-05-27"
"551","D-26","Shalimar Town","Dumper","New","Active","2023-05-27"
"552","D-55","Shalimar Town","Dumper","New","Active","2023-05-27"
"553","D-67","Shalimar Town","Dumper","New","Active","2023-05-27"
"554","DT-01","Shalimar Town","Dumper","New","Active","2023-05-27"
"555","DT-10","Shalimar Town","Dumper","New","Active","2023-05-27"
"556","HD-39","Shalimar Town","Dumper","Old","Active","2023-05-27"
"557","HD-40","Shalimar Town","Dumper","Old","Active","2023-05-27"
"558","HD-41","Shalimar Town","Dumper","Old","Active","2023-05-27"
"559","HD-4173","Shalimar Town","Dumper","Old","Active","2023-05-27"
"560","LHN-4172","Shalimar Town","Dumper","Old","Active","2023-05-27"
"561","D-06","Wahga Town","Dumper","Old","Active","2023-05-27"
"562","D-08","Wahga Town","Dumper","Old","Active","2023-05-27"
"563","D-11","Wahga Town","Dumper","Old","Active","2023-05-27"
"564","D-29","Wahga Town","Dumper","New","Active","2023-05-27"
"565","D-30","Wahga Town","Dumper","New","Active","2023-05-27"
"566","D-59","Wahga Town","Dumper","New","Active","2023-05-27"
"567","D-69","Wahga Town","Dumper","New","Active","2023-05-27"
"568","ND-29","Wahga Town","Dumper","Old","Active","2023-05-27"
"569","ND-38","Wahga Town","Dumper","Old","Active","2023-05-27"
"570","GS-09","Lakhodair","Gully Sucker","Old","Active","2023-05-27"
"571","GS-03","Rajgarh Centre","Gully Sucker","Old","Active","2023-05-27"
"572","GS-04","Rajgarh Centre","Gully Sucker","Old","Active","2023-05-27"
"573","LEG-1683","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"574","LEG-1709","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"575","LEG-1710","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"576","LEG-1711","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"577","LEG-1712","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"578","MFL-109","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"579","MFL-112","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"580","MFL-18","Allama Iqbal Town","Loader","Old","Active","2023-05-27"
"581","MFL-64","Allama Iqbal Town","Loader","New","Active","2023-05-27"
"582","MFT-08","Allama Iqbal Town","Loader","New","Active","2023-05-27"
"583","MFT-11","Allama Iqbal Town","Loader","New","Active","2023-05-27"
"584","TLD-01","Allama Iqbal Town","Loader","New","Active","2023-05-27"
"585","TLD-02","Allama Iqbal Town","Loader","New","Active","2023-05-27"
"586","LD-02","Aziz Bhatti Town","Loader","Old","Active","2023-05-27"
"587","MFL-114","Aziz Bhatti Town","Loader","Old","Active","2023-05-27"
"588","MFL-17","Aziz Bhatti Town","Loader","Old","Active","2023-05-27"
"589","MFL-20","Aziz Bhatti Town","Loader","Old","Active","2023-05-27"
"590","MFL-33","Aziz Bhatti Town","Loader","Old","Active","2023-05-27"
"591","MFL-60","Aziz Bhatti Town","Loader","New","Active","2023-05-27"
"592","MFT-4","Aziz Bhatti Town","Loader","New","Active","2023-05-27"
"593","L-15","Compost Plant","Loader","Old","Active","2023-05-27"
"594","LD-03","Compost Plant","Loader","Old","Active","2023-05-27"
"595","MFL-105","Compost Plant","Loader","Old","Active","2023-05-27"
"596","MFL-45","Compost Plant","Loader","Old","Active","2023-05-27"
"597","LD-08","DGBT","Loader","Old","Active","2023-05-27"
"598","LD-09","DGBT","Loader","Old","Active","2023-05-27"
"599","LEG-1682","DGBT","Loader","Old","Active","2023-05-27"
"600","MFL-19","DGBT","Loader","Old","Active","2023-05-27"
"601","MFL-47","DGBT","Loader","Old","Active","2023-05-27"
"602","MFL-51","DGBT","Loader","Old","Active","2023-05-27"
"603","MFL-54","DGBT","Loader","Old","Active","2023-05-27"
"604","MFL-58","DGBT","Loader","New","Active","2023-05-27"
"605","MFT-13","DGBT","Loader","New","Active","2023-05-27"
"606","TL-106","DGBT","Loader","Old","Active","2023-05-27"
"607","LD-05","Gulberg Town","Loader","Old","Active","2023-05-27"
"608","LD-07","Gulberg Town","Loader","Old","Active","2023-05-27"
"609","MFL-21","Gulberg Town","Loader","Old","Active","2023-05-27"
"610","MFL-23","Gulberg Town","Loader","Old","Active","2023-05-27"
"611","MFL-29","Gulberg Town","Loader","Old","Active","2023-05-27"
"612","MFL-61","Gulberg Town","Loader","New","Active","2023-05-27"
"613","MFT-6","Gulberg Town","Loader","New","Active","2023-05-27"
"614","TLD-03","Gulberg Town","Loader","New","Active","2023-05-27"
"615","TLD-04","Gulberg Town","Loader","New","Active","2023-05-27"
"616","L-1","Lakhodair","Loader","Old","Active","2023-05-27"
"617","L-13","Lakhodair","Loader","Old","Active","2023-05-27"
"618","L-16","Lakhodair","Loader","Old","Active","2023-05-27"
"619","L-17","Lakhodair","Loader","Old","Active","2023-05-27"
"620","L-9","Lakhodair","Loader","Old","Active","2023-05-27"
"621","L-10","Nishter Town","Loader","Old","Active","2023-05-27"
"622","L-12","Nishter Town","Loader","Old","Active","2023-05-27"
"623","MFL-16","Nishter Town","Loader","Old","Active","2023-05-27"
"624","MFL-48","Nishter Town","Loader","Old","Active","2023-05-27"
"625","MFL-53","Nishter Town","Loader","Old","Active","2023-05-27"
"626","MFL-63","Nishter Town","Loader","New","Active","2023-05-27"
"627","MFT-07","Nishter Town","Loader","New","Active","2023-05-27"
"628","MFT-12","Nishter Town","Loader","New","Active","2023-05-27"
"629","TL-107","Nishter Town","Loader","Old","Active","2023-05-27"
"630","LD-04","Rajgarh Centre","Loader","Old","Active","2023-05-27"
"631","LD-10","Rajgarh Centre","Loader","Old","Active","2023-05-27"
"632","TL-105","Rajgarh Centre","Loader","New","Active","2023-05-27"
"633","FTL-24","Ravi Town","Loader","Old","Active","2023-05-27"
"634","FTL-25","Ravi Town","Loader","Old","Active","2023-05-27"
"635","FTL-26","Ravi Town","Loader","Old","Active","2023-05-27"
"636","L-06","Ravi Town","Loader","Old","Active","2023-05-27"
"637","LEG-1436","Ravi Town","Loader","Old","Active","2023-05-27"
"638","LEG-1685","Ravi Town","Loader","Old","Active","2023-05-27"
"639","MFL-108","Ravi Town","Loader","Old","Active","2023-05-27"
"640","MFL-110","Ravi Town","Loader","Old","Active","2023-05-27"
"641","MFL-62","Ravi Town","Loader","New","Active","2023-05-27"
"642","MFT-02","Ravi Town","Loader","New","Active","2023-05-27"
"643","FTL-27","Ring Road","Loader","Old","Active","2023-05-27"
"644","LEG-1481","Ring Road","Loader","Old","Active","2023-05-27"
"645","MFL-117","Ring Road","Loader","Old","Active","2023-05-27"
"646","MFL-31","Ring Road","Loader","Old","Active","2023-05-27"
"647","MFL-52","Ring Road","Loader","Old","Active","2023-05-27"
"648","MFT-3","Ring Road","Loader","New","Active","2023-05-27"
"649","LD-12","Samanabad Town","Loader","Old","Active","2023-05-27"
"650","LEG-1435","Samanabad Town","Loader","Old","Active","2023-05-27"
"651","LEG-1482","Samanabad Town","Loader","Old","Active","2023-05-27"
"652","LEG-7161","Samanabad Town","Loader","Old","Active","2023-05-27"
"653","LTD-06","Samanabad Town","Loader","New","Active","2023-05-27"
"654","MFL-111","Samanabad Town","Loader","Old","Active","2023-05-27"
"655","MFL-32","Samanabad Town","Loader","Old","Active","2023-05-27"
"656","MFL-50","Samanabad Town","Loader","Old","Active","2023-05-27"
"657","MFL-65","Samanabad Town","Loader","New","Active","2023-05-27"
"658","MFT-9","Samanabad Town","Loader","New","Active","2023-05-27"
"659","MFL-113","Shalimar Town","Loader","Old","Active","2023-05-27"
"660","MFL-115","Shalimar Town","Loader","Old","Active","2023-05-27"
"661","MFL-116","Shalimar Town","Loader","Old","Active","2023-05-27"
"662","MFL-13","Shalimar Town","Loader","Old","Active","2023-05-27"
"663","MFL-14","Shalimar Town","Loader","Old","Active","2023-05-27"
"664","MFL-15","Shalimar Town","Loader","Old","Active","2023-05-27"
"665","MFL-66","Shalimar Town","Loader","New","Active","2023-05-27"
"666","MFT-01","Shalimar Town","Loader","New","Active","2023-05-27"
"667","MFT-10","Shalimar Town","Loader","New","Active","2023-05-27"
"668","LD-06","Wahga Town","Loader","Old","Active","2023-05-27"
"669","LEG-1684","Wahga Town","Loader","Old","Active","2023-05-27"
"670","MFL-22","Wahga Town","Loader","Old","Active","2023-05-27"
"671","MFL-28","Wahga Town","Loader","Old","Active","2023-05-27"
"672","MFL-30","Wahga Town","Loader","Old","Active","2023-05-27"
"673","MFL-59","Wahga Town","Loader","New","Active","2023-05-27"
"674","MFT-05","Wahga Town","Loader","New","Active","2023-05-27"
"675","Washer-272","DGBT","Mech Washer","Old","Active","2023-05-27"
"676","MW-3001","Night Operations","Mech Washer","Old","Active","2023-05-27"
"677","MW-3007","Night Operations","Mech Washer","Old","Active","2023-05-27"
"678","C01-209","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"679","C01-213","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"680","C01-216","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"681","C01-236","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"682","C01-238","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"683","C02-028","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"684","M-07","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"685","M-09","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"686","M-10","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"687","M-11","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"688","M-14","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"689","M-15","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"690","M-17","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"691","M-18","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"692","M-19","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"693","M-25","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"694","M-27","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"695","M-31","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"696","M-32","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"697","M-33","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"698","M-34","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"699","M-5","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"700","M-52","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"701","M-53","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"702","M-54","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"703","M-56","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"704","M-58","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"705","M-6","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"706","M-63","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"707","M-64","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"708","M-66","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"709","M-8","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"710","M-90","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"711","M-92","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"712","MD-06","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"713","MD-31","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"714","MD-33","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"715","MD-43","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"716","MD-44","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"717","MD-45","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"718","MD-46","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"719","MD-47","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"720","MD-49","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"721","MD-59","Allama Iqbal Town","Mini Dumper","Old","Active","2023-05-27"
"722","S-121","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"723","S-123","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"724","S-125","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"725","S-128","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"726","S-130","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"727","S-133","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"728","S-135","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"729","S-136","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"730","S-138","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"731","S-139","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"732","S-140","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"733","S-141","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"734","S-142","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"735","S-144","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"736","S-151","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"737","S-166","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"738","S-17","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"739","S-175","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"740","S-185","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"741","S-193","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"742","S-196","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"743","S-200","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"744","S-205","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"745","S-221","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"746","S-233","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"747","S-241","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"748","S-243","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"749","S-250","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"750","S-255","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"751","S-263","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"752","S-279","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"753","S-281","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"754","S-285","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"755","S-319","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"756","S-320","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"757","S-353","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"758","S-354","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"759","S-36","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"760","S-367","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"761","S-378","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"762","S-379","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"763","S-389","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"764","S-393","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"765","S-49","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"766","S-51","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"767","S-53","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"768","S-55","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
"769","S-57","Allama Iqbal Town","Mini Dumper","New","Active","2023-05-27"
